pivot_grammar	Expanded_Features	English	Sanskrit
kqw_nan	kqw_prawyayaH:nan		नन्
kqw_kwin	kqw_prawyayaH:kwin	ktin	क्तिन्
kqw_a	kqw_prawyayaH:a	a	अ
kqw_af	kqw_prawyayaH:af	aṅ	अङ्
kqw_iF	kqw_prawyayaH:iF	iñ	इञ्
kqw_Nvuc	kqw_prawyayaH:Nvuc	ṇvuc	ण्वुच्
kqw_ani	kqw_prawyayaH:ani	ani	अनि
kqw_lyut	kqw_prawyayaH:lyut	lyuṭ	ल्युट्
kqw_Ga	kqw_prawyayaH:Ga	gha	घ
kqw_Kal	kqw_prawyayaH:Kal	khal	खल्
kqw_kwic	kqw_prawyayaH:kwic	ktic	क्तिच्
kqw_se	kqw_prawyayaH:se	se	से
kqw_sen	kqw_prawyayaH:sen	sen	सेन्
kqw_ase	kqw_prawyayaH:ase	ase	असे
kqw_asen	kqw_prawyayaH:asen	asen	असेन्
kqw_kse	kqw_prawyayaH:kse	kse	क्से
kqw_ksen	kqw_prawyayaH:ksen	ksen	क्सेन्
kqw_aXyE	kqw_prawyayaH:aXyE	adhyai	अध्यै
kqw_aXyEn	kqw_prawyayaH:aXyEn	adhyain	अध्यैन्
kqw_kaXyE	kqw_prawyayaH:kaXyE	kadhyai	कध्यै
kqw_kaXyEn	kqw_prawyayaH:kaXyEn	kadhyain	कध्यैन्
kqw_SaXyE	kqw_prawyayaH:SaXyE	śadhyai	शध्यै
kqw_SaXyEn	kqw_prawyayaH:SaXyEn	śadhyain	शध्यैन्
kqw_wavE	kqw_prawyayaH:wavE	tavai	तवै
kqw_wavef	kqw_prawyayaH:wavef	taveṅ	तवेङ्
kqw_wavena	kqw_prawyayaH:wavena	tavena	तवेन
kqw_kamul	kqw_prawyayaH:kamul	kamul	कमुल्
kqw_wosun	kqw_prawyayaH:wosun	tosun	तोसुन्
kqw_kasun	kqw_prawyayaH:kasun	kasun	कसुन्
kqw_ken	kqw_prawyayaH:ken	ken	केन्
kqw_kenya	kqw_prawyayaH:kenya	kenya	केन्य
kqw_wvan	kqw_prawyayaH:wvan	tvan	त्वन्
kqw_Sena	kqw_prawyayaH:Sena	śena	शेन
kqw_KamuF	kqw_prawyayaH:KamuF	khamuñ	खमुञ्
waxXiwa_aN	waxXiwa_prawyayaH:aN	aṇ	अण्
waxXiwa_iF	waxXiwa_prawyayaH:iF	iñ	इञ्
waxXiwa_cPaF	waxXiwa_prawyayaH:cPaF	cphañ	च्फञ्
waxXiwa_Tak	waxXiwa_prawyayaH:Tak	ṭhak	ठक्
waxXiwa_GaF	waxXiwa_prawyayaH:GaF	ghañ	घञ्
waxXiwa_wal	waxXiwa_prawyayaH:wal	tal	तल्
waxXiwa_vawup	waxXiwa_prawyayaH:vawup	vatup	वतुप्
waxXiwa_mawup	waxXiwa_prawyayaH:mawup	matup	मतुप्
waxXiwa_tarap	waxXiwa_prawyayaH:warap	tarap	तरप्
waxXiwa_tamap	waxXiwa_prawyayaH:wamap	tamap	तमप्
waxXiwa_tva	waxXiwa_prawyayaH:wva	tva	त्व
waxXiwa_vaw	waxXiwa_prawyayaH:vaw	vat	वत्
waxXiwa_wasil	waxXiwa_prawyayaH:wasil	tasil	तसिल्
waxXiwa_karam	waxXiwa_prawyayaH:karam	karam	करम्
waxXiwa_arWam	waxXiwa_prawyayaH:arWam	artham	अर्थम्
waxXiwa_pUrvaka	waxXiwa_prawyayaH:pUrvaka	pūrvaka	पूर्वक
waxXiwa_vAram	waxXiwa_prawyayaH:vAram	vāram	वारम्
waxXiwa_kqwvasuc	waxXiwa_prawyayaH:kqwvasuc	kṛtvasuc	कृत्वसुच्
waxXiwa_xA	waxXiwa_prawyayaH:xA	dā	दा
waxXiwa_Sas	waxXiwa_prawyayaH:Sas	śas	शस्
waxXiwa_arWa_wasya_apawyam		tasya apatyam	तस्य अपत्यम्
waxXiwa_arWa_wena_rakwam		tena raktam	तेन रक्तम्
waxXiwa_arWa_asya_xevawA		asya devatā	अस्य देवता
waxXiwa_arWa_xqRtam_sAma		dṛṣṭaṃ sāma	दृष्टं साम
waxXiwa_arWa_wasya_BAvaH		tasya bhāvaḥ	तस्य भावः
compound_base	Case=Cpd	Compound Component	पूर्वपद
comp_iic			
comp_ifc			
comp_iiv		Compound Component (cvi)	पूर्वपद (च्वि)
comp_upa		Compound Component (upapada)	पूर्वपद (उपपद)
comp_aluk		Compound Component (aluk)	पूर्वपद (अलुक्)
compound_base|comp_iic	iic.		
compound_base|comp_iiv	iiv.		
compound_base|comp_upa			
compound_base|comp_aluk			
nip		Yes	Yes
ved_pan		Vedic pāṇinīya	पाणिनीय छान्दस
ved_apan		Non-pāṇinīya	अपाणिनीय
